Date,Building,Stream,Substream,Volume,Weight,Notes
5/15/18,Facilities,Recycling,Paper,1.0,15.8,
5/15/18,Facilities,Recycling,Cardboard,1.0,5.5,
5/15/18,Facilities,Recycling,Cardboard,1.0,8.6,
5/15/18,Facilities,Recycling,Paper,0.66,6.5,
5/15/18,Facilities,Recycling,Other Landfill,0.1,1.2,coffee cups
5/15/18,Facilities,Recycling,Metal,0.25,5.2,keys
5/15/18,Facilities,Recycling,Glass,0.15,11.7,
5/15/18,Facilities,Recycling,Plastic 1-7,1.25,13.6,
5/15/18,Facilities,Recycling,Plastic Film,1.0,4.1,
5/15/18,Facilities,Recycling,Cardboard,1.0,2.3,
5/15/18,Facilities,Recycling,Other Landfill,0.5,4.8,"SCU coffee cups, markers, chip bags, mailing packages"
5/15/18,Facilities,Recycling,Reusables,0.1,2.0,
5/15/18,Facilities,Recycling,Styrofoam,0.05,0.6,
5/15/18,Facilities,Recycling,Paper Towels,0.33,1.4,
5/15/18,Facilities,Recycling,Compostable Food Containers,0.33,2.8,"paper towels, napkins, sandwich wrappers, food containers"
5/15/18,Facilities,Recycling,Misc. Meal Waste,0.1,1.6,
5/15/18,Facilities,Compost,Paper Towels,0.75,11.2,
5/15/18,Facilities,Compost,Other Landfill,0.05,0.9,coffee cups
5/15/18,Facilities,Compost,Compostable Food Containers,0.75,3.2,
5/15/18,Facilities,Compost,Misc. Meal Waste,0.25,22.2,
5/15/18,Facilities,Compost,Paper,0.05,0.1,
5/15/18,Facilities,Compost,Plastic 1-7,0.12,2.8,
5/15/18,Facilities,Compost,Plastic Film,0.12,0.2,
5/15/18,Facilities,Compost,Other Landfill,0.06,1.7,"chip wrappers, keurig cups"
5/15/18,Facilities,Compost,Metal,0.05,0.5,
2/9/18,Swig,Landfill,Compostable Food Containers,0.75,6.2,"napkins, tissues, compostable containers"
2/9/18,Swig,Landfill,Plastic 1-7,1.0,7.4,"red solo cups, big gulps, plastic bottles"
2/9/18,Swig,Landfill,Paper,1.0,7.9,"paperboard, paper, receipts"
2/9/18,Swig,Landfill,Compostable Food Containers,1.0,5.2,pizza boxes
2/9/18,Swig,Landfill,Plastic 1-7,1.0,7.3,"water bottles, drink bottles, benson to-go cups"
2/9/18,Swig,Landfill,Compostable Food Containers,1.0,6.4,"to go containers, paper wrappers"
2/9/18,Swig,Landfill,Paper,1.0,6.0,"grocery bags, cardboard bozes"
2/9/18,Swig,Landfill,Compostable Food Containers,0.5,2.7,"to go containers, paper bags, napkins"
2/9/18,Swig,Landfill,Aseptic Containers,0.05,1.0,milk carton
